username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
ChavEZocialismo;2013-07-27 13:21;0;0;"Yo no se lo q es el destino caminando fui lo que fui. allá dios que será divino yo me muero como viví yo me muero como viví #ChavezVive";;;#ChavezVive;"361181992185896961";https://twitter.com/ChavEZocialismo/status/361181992185896961
pedromoreno18;2013-07-27 13:19;0;0;"Amaneci con menos seguidores .. Bueno eso me da mas fuerza para seguir adelante #chavezvive la lucha sigue";;;#chavezvive;"361181562617860096";https://twitter.com/pedromoreno18/status/361181562617860096
TuaClara;2013-07-27 13:17;0;1;"ATENCIÓN CAMARADAS! estamos obligados a vencer... vencer es REVOLUCIÓN y REVOLUCIÓN es vencer.... #TROPA #ChavezVive #LaLuchaSigue";;;#TROPA #ChavezVive #LaLuchaSigue;"361181129660829696";https://twitter.com/TuaClara/status/361181129660829696
Louogle;2013-07-27 13:08;0;0;"Ilustrando al arańero de sabaneta... #chavezvive http:// instagram.com/p/cRy3t8Rev_/";;;#chavezvive;"361178715167784960";https://twitter.com/Louogle/status/361178715167784960
luisAfrancoB ALICEBRAVO00;2013-07-27 12:49;0;0;"@AliceBravo00 asi es te la recomiendo es pana y buena tuitera, a ya te sigo camarada #ChavezVive";;@AliceBravo00;#ChavezVive;"361173891848220672";https://twitter.com/luisAfrancoB/status/361173891848220672
davivivalero NicolasMaduro;2013-07-27 12:31;0;0;"@NicolasMaduro chavez cumple ma#ana siempre el 28 de julio sera Su Cumple a#os porque vive en cada corazon en cada latir caraj #chavezvive";;@NicolasMaduro;#ana #os #chavezvive;"361169583052304384";https://twitter.com/davivivalero/status/361169583052304384
Rosalinda_4F;2013-07-27 12:19;0;0;"Mensajes del pueblo a nuestro Comandante Supremo a propósito de su cumpleaños: Como parte de las ... http:// bit.ly/1bZlCEh #ChávezVive";;;#Ch;"361166540499980291";https://twitter.com/Rosalinda_4F/status/361166540499980291
Rosalinda_4F;2013-07-27 12:19;0;0;"Papa Francisco: “No podemos quedarnos enclaustrados en las parroquias”: El Papa le pidió hoy a ob... http:// bit.ly/16n10iS #ChávezVive";;;#Ch;"361166538985832448";https://twitter.com/Rosalinda_4F/status/361166538985832448
Rosalinda_4F;2013-07-27 12:19;0;0;"Presidente alemán manifestó apoyar a Edward Snowden: El presidente alemán, Joachim Gauck, ha apoy... http:// bit.ly/1bZlCEb #ChávezVive";;;#Ch;"361166537576562688";https://twitter.com/Rosalinda_4F/status/361166537576562688
Rosalinda_4F;2013-07-27 12:19;1;0;"Padre de Snowden a Obama: “Estamos consternados por su desprecio a la justicia (+Video): "El pueb... http:// bit.ly/1bZlDIb #ChávezVive";;;#Ch;"361166535278080001";https://twitter.com/Rosalinda_4F/status/361166535278080001
ZEREPZAID;2013-07-27 12:15;30;1;"#ElPuebloCelebraraTus59AñosChavez #ElPuebloCelebraraTus59AñosChavez #ElPuebloCelebraraTus59AñosChavez #ChavezVive pic.twitter.com/P6no9WaVQf";;;#ElPuebloCelebraraTus59A #ElPuebloCelebraraTus59A #ElPuebloCelebraraTus59A #ChavezVive;"361165367751634944";https://twitter.com/ZEREPZAID/status/361165367751634944
ZEREPZAID;2013-07-27 12:11;0;1;"#ElPuebloCelebraraTus59añosCHAVEZ #ChavezVive #ChavezSigueCumpliendo #ElPuebloCelebraraTus59añosCHAVEZ #ChavezVive pic.twitter.com/kYVz5zQCzx";;;#ElPuebloCelebraraTus59a #ChavezVive #ChavezSigueCumpliendo #ElPuebloCelebraraTus59a #ChavezVive;"361164390076133376";https://twitter.com/ZEREPZAID/status/361164390076133376
ZEREPZAID;2013-07-27 12:07;1;1;"#ElPuebloCelebraraTus59añosCHAVEZ #ElPuebloCelebraraTus59añosCHAVEZ #ElPuebloCelebraraTus59añosCHAVEZ #ChavezVive pic.twitter.com/ywDfx3l39F";;;#ElPuebloCelebraraTus59a #ElPuebloCelebraraTus59a #ElPuebloCelebraraTus59a #ChavezVive;"361163551970299905";https://twitter.com/ZEREPZAID/status/361163551970299905
