username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
DaveOliveros;2017-05-26 11:45;4;1;"Inicio de nuestra catedra "Fabricio ojeda" como ponente @tupamarohipolit #ConstituyenteVa @hugbelpsuv @BettysMunoz @NicolasMaduro pic.twitter.com/UnDBHlW574";;@tupamarohipolit @hugbelpsuv @BettysMunoz @NicolasMaduro;#ConstituyenteVa;"868131084260839424";https://twitter.com/DaveOliveros/status/868131084260839424
PoesiaGibran;2017-05-26 11:43;2;1;"#LaPazExigeDialogo por eso la #ConstituyenteVa para un dialogo nacional e inclusivo";;;#LaPazExigeDialogo #ConstituyenteVa;"868130440120500224";https://twitter.com/PoesiaGibran/status/868130440120500224
gestionhumanas2;2017-05-26 11:33;0;0;"Sigue a @Fundacionfames para que estes al tanto de las jornadas de salud que le realizamos a los estudiantes! #ConstituyenteVA pic.twitter.com/0WBvTaZOKD";;@Fundacionfames;#ConstituyenteVA;"868127994715545600";https://twitter.com/gestionhumanas2/status/868127994715545600
CandangueraR;2017-05-26 11:25;0;0;"Y nos plantamos...y no nos vamos...calle hasta q caiga Maduro...resistencia y más bla,bla,bla ya van más de 50 días #ConstituyenteVA";;;#ConstituyenteVA;"868125910142255104";https://twitter.com/CandangueraR/status/868125910142255104
niviamontero;2017-05-26 11:10;1;2;"Constityente por la PAZ!!! #ConstituyenteVA #PazExigeDialogo @Ronaldsantiagos @EcoMineriaVE @CarbozuliaRedes https:// twitter.com/yeliderd/statu s/867826790894579712 …";;@Ronaldsantiagos @EcoMineriaVE @CarbozuliaRedes;#ConstituyenteVA #PazExigeDialogo;"868122123256160256";https://twitter.com/niviamontero/status/868122123256160256
salazarkarianna;2017-05-26 11:09;0;0;"El Min. MQuevedoF denunció ataques al minhvi_zulia http:// bit.ly/2qT6o0w #ConstituyenteVA http:// pbs.twimg.com/media/DAr-PFwW AAAekW5.jpg …";;;#ConstituyenteVA;"868121999780065281";https://twitter.com/salazarkarianna/status/868121999780065281
ANTV_VENEZUELA;2017-05-26 11:08;3;2;"#ConstituyenteVa y desde los espacios de INTI sus trabajadores apoyan el diálogo de paz para superar esta coyuntura pic.twitter.com/C4ZpBFD9Jm";;;#ConstituyenteVa;"868121688613036033";https://twitter.com/ANTV_VENEZUELA/status/868121688613036033
soy_maduro;2017-05-26 11:07;0;0;"El Min. MQuevedoF denunció ataques al minhvi_zulia http:// bit.ly/2qT6o0w #ConstituyenteVA pic.twitter.com/WEldw4oLe8";;;#ConstituyenteVA;"868121387663335425";https://twitter.com/soy_maduro/status/868121387663335425
notichavista2;2017-05-26 11:06;0;0;"El Min. MQuevedoF denunció ataques al minhvi_zulia http:// bit.ly/2qT6o0w #ConstituyenteVA pic.twitter.com/sGotyCOoU8";;;#ConstituyenteVA;"868121223401803776";https://twitter.com/notichavista2/status/868121223401803776
Alex79c;2017-05-26 11:03;0;0;"RT SucreGob: #gESTION | EdwinRojasM: "Todo lo que hacemos es por nuestros niños, por el futuro de la Patria” (+IMAGEN) #ConstituyenteVa #…";;;#gESTION #ConstituyenteVa #;"868120513259950080";https://twitter.com/Alex79c/status/868120513259950080
