username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
AFajardoD;2017-03-30 19:59;0;0;"#SOSVenezuela https:// twitter.com/liliantintori/ status/847492043177811968 …";;;#SOSVenezuela;"847599088782659588";https://twitter.com/AFajardoD/status/847599088782659588
Widinha;2017-03-30 19:58;0;0;"#SOSVENEZUELA";;;#SOSVENEZUELA;"847599034877394946";https://twitter.com/Widinha/status/847599034877394946
FranW16;2017-03-30 19:58;0;0;"El mismisimo Pdte Hugo Chavez hablaba sobre este tipo de situaciones #sosVenezuela https:// twitter.com/dlanaza/status /847587313962016768 …";;;#sosVenezuela;"847599012215750656";https://twitter.com/FranW16/status/847599012215750656
DiiegoRivero;2017-03-30 19:58;27;13;"La solución es la resistencia en la calle. #GolpeEnVenezuela #PuebloYANEnRebeldia #VzlaContraLaDictadura #sosvenezuela #ULTIMAHORA";;;#GolpeEnVenezuela #PuebloYANEnRebeldia #VzlaContraLaDictadura #sosvenezuela #ULTIMAHORA;"847598826768617473";https://twitter.com/DiiegoRivero/status/847598826768617473
AFajardoD;2017-03-30 19:57;0;1;"Mañana cuando todo sea parte d la historia, los tiranos no tendrán país xq han forjado su destino errante #Venezuela #SOSVenezuela";;;#Venezuela #SOSVenezuela;"847598653489467393";https://twitter.com/AFajardoD/status/847598653489467393
IssaZam90;2017-03-30 19:56;0;0;"¿Ahora si podemos llamarlo dictadura? Nótese sarcasmo. #SOSVenezuela #Venezuela";;;#SOSVenezuela #Venezuela;"847598543976022016";https://twitter.com/IssaZam90/status/847598543976022016
EDUCADORAV;2017-03-30 19:55;1;1;"Seguimos #Educando pero alertas ante la gravísima situación en #SOSVenezuela";;;#Educando #SOSVenezuela;"847598184612466689";https://twitter.com/EDUCADORAV/status/847598184612466689
Horeiba_Garcia;2017-03-30 19:55;1;0;"#sosVenezuela #GolpeDeEstado #GolpeEnVenezuela @delgadomaite #EstoEsDictadura pic.twitter.com/tFiuJlFmYb";;@delgadomaite;#sosVenezuela #GolpeDeEstado #GolpeEnVenezuela #EstoEsDictadura;"847598172021063681";https://twitter.com/Horeiba_Garcia/status/847598172021063681
RepubSinPulso;2017-03-30 19:55;2;0;"#SOSVenezuela La MUD está conteniendo a la gente para que la tiranía continúe. http:// youtu.be/oS6HWdqRFi4 pic.twitter.com/l3rdmDGbob";;;#SOSVenezuela;"847598120963719168";https://twitter.com/RepubSinPulso/status/847598120963719168
jadominguezn;2017-03-30 19:53;8;12;"Hola @ONU_es y @OEA_oficial . Llegó el momento en que le demuestren al mundo que son útiles y no un club de gobiernos corruptos #SOSVenezuela";;@ONU_es @OEA_oficial;#SOSVenezuela;"847597659938578432";https://twitter.com/jadominguezn/status/847597659938578432
