username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
DUINCONSUELOC;2017-02-27 19:42;0;0;"¿Y LA REPRESION DEL 2014 DONDE UD @RodriguezT4F FUE PROTAGONISTA JUNTO A @NicolasMaduro NO FUE VIOLENCIA? POR FAVOR.......... #SosVenezuela https:// twitter.com/AlbertoRavell/ status/836333941674110977 …";;@RodriguezT4F @NicolasMaduro;#SosVenezuela;"836360923778527232";https://twitter.com/DUINCONSUELOC/status/836360923778527232
speakergringo;2017-02-27 19:23;1;3;"#Marijuanastocks #legalicen #EndtheDrugWar #secondamendment .Also, #SOSVenezuela #socialism sucks. Let's make #Venezuela #Libertarian again pic.twitter.com/nU7Bpd7sD0";;;#Marijuanastocks #legalicen #EndtheDrugWar #secondamendment #SOSVenezuela #socialism #Venezuela #Libertarian;"836356084080181248";https://twitter.com/speakergringo/status/836356084080181248
libertylatina;2017-02-27 19:16;81;54;"These are some of the Venezuelan people we helped this weekend. Please donate to our #SOSVenezuela campaign. http://www. gofundme.com/sosvenezuela-p uerto-cabello … pic.twitter.com/TtYmhN1rzU";;;#SOSVenezuela;"836354467226398720";https://twitter.com/libertylatina/status/836354467226398720
madrilenita;2017-02-27 19:12;0;0;"@realDonaldTrump #SosVenezuela https:// twitter.com/EnkiVzla/statu s/836287404629700609 …";;@realDonaldTrump;#SosVenezuela;"836353249187876864";https://twitter.com/madrilenita/status/836353249187876864
PochiRafael;2017-02-27 18:31;0;0;"#SOSVenezuela @Almagro_OEA2015 @OEA_oficial @mauriciomacri @SusanaMalcorra https:// twitter.com/oscararenas11/ status/836341487562534913 …";;@Almagro_OEA2015 @OEA_oficial @mauriciomacri @SusanaMalcorra;#SOSVenezuela;"836343091397275648";https://twitter.com/PochiRafael/status/836343091397275648
renovarpapeles;2017-02-27 18:24;0;0;"#SOSVenezuela ¿AH SI? Rodríguez Torres por este #27F : La violencia no debe ser el método de hacer política https:// goo.gl/sEHIQY pic.twitter.com/pkB5W2cUcU";;;#SOSVenezuela #27F;"836341285640232961";https://twitter.com/renovarpapeles/status/836341285640232961
elMono440;2017-02-27 17:25;0;0;"RT elparriba: #SosVenezuela ¡disponible! http:// paper.li/elparriba/1392 830482?edition_id=3f600eb0-fd11-11e6-89dc-0cc47a0d15fd … #venezuela";;;#SosVenezuela #venezuela;"836326338478944261";https://twitter.com/elMono440/status/836326338478944261
elparriba;2017-02-27 17:21;0;0;"#SosVenezuela ¡disponible! http:// paper.li/elparriba/1392 830482?edition_id=3f600eb0-fd11-11e6-89dc-0cc47a0d15fd … #venezuela";;;#SosVenezuela #venezuela;"836325384622850049";https://twitter.com/elparriba/status/836325384622850049
PoPeye_Ve;2017-02-27 17:02;0;0;"#SOSVenezuela crisis de bronceador por culpa de Maduro...! pic.twitter.com/sl7Cuh1toF";;;#SOSVenezuela;"836320569633173504";https://twitter.com/PoPeye_Ve/status/836320569633173504
beatri39;2017-02-27 16:36;0;0;"#SOSVenezuela @Almagro_OEA2015 @OEA_oficial @realDonaldTrump https:// twitter.com/sol651/status/ 835963715115749376 …";;@Almagro_OEA2015 @OEA_oficial @realDonaldTrump;#SOSVenezuela;"836314144106229761";https://twitter.com/beatri39/status/836314144106229761
janethjimenez05;2017-02-27 15:49;0;0;"#SOSVenezuela @almagro_OEA @mauriciomacri @ppkamigo No vivimos la época de la II Guerra Mundial, hoy los crímenes los sabemos al momento ... https:// twitter.com/EnkiVzla/statu s/836284422416646145 …";;@almagro_OEA @mauriciomacri @ppkamigo;#SOSVenezuela;"836302148354789377";https://twitter.com/janethjimenez05/status/836302148354789377
GianniBarretoL;2017-02-27 15:29;0;1;"#SOSVenezuela @charliesheen @seanspicer turn your eyes to us...";;@charliesheen @seanspicer;#SOSVenezuela;"836297120080674820";https://twitter.com/GianniBarretoL/status/836297120080674820
renovarpapeles;2017-02-27 15:22;0;0;"#SOSVenezuela ¡MUY CIERTO! 89,9% de los venezolanos quieren un cambio, aseveró coordinador del FEN https:// goo.gl/r9uRHK pic.twitter.com/QTLujNHj3A";;;#SOSVenezuela;"836295360318328833";https://twitter.com/renovarpapeles/status/836295360318328833
ygpublialto;2017-02-27 14:57;0;0;"@karinbarillasf #sosvenezuela #DearMrTrumpHelpVzlaNOW https:// twitter.com/realDonaldTrum p/status/836261209540288513 …";;@karinbarillasf;#sosvenezuela #DearMrTrumpHelpVzlaNOW;"836289245438431234";https://twitter.com/ygpublialto/status/836289245438431234
gererfer;2017-02-27 14:39;26;7;"Las incongruencias de un país q muere de hambre, sin medicinas y cada quien tira para su cabuya. Estamos condenados ! #SosVenezuela ! pic.twitter.com/pgDN7YIq16";;;#SosVenezuela;"836284587445796865";https://twitter.com/gererfer/status/836284587445796865
alexascarpita;2017-02-27 14:01;0;0;"¡Un mensaje para Maduro! http:// buff.ly/2lOD3Aw #SOSVenezuela #Venezuela pic.twitter.com/9QiuPDmm0e";;;#SOSVenezuela #Venezuela;"836275092749418496";https://twitter.com/alexascarpita/status/836275092749418496
dranancyalvarez;2017-02-27 14:01;23;36;"¡Un mensaje para Maduro! http:// buff.ly/2lOD3Aw #SOSVenezuela #Venezuela pic.twitter.com/WMhB553UTk";;;#SOSVenezuela #Venezuela;"836274994736947201";https://twitter.com/dranancyalvarez/status/836274994736947201
vaneleca;2017-02-27 13:52;1;0;"Venezuela, un killer alla Corte Suprema via @ilgiornale #SOSVenezuela http:// m.ilgiornale.it/news/2017/02/2 7/venezuela-un-killer-alla-corte-suprema/1368954/ …";;@ilgiornale;#SOSVenezuela;"836272735101849600";https://twitter.com/vaneleca/status/836272735101849600
elMono440;2017-02-27 13:25;0;0;"RT elparriba: #SosVenezuela ¡disponible! http:// paper.li/elparriba/1392 830482?edition_id=3f600eb0-fd11-11e6-89dc-0cc47a0d15fd … Tuits de: Roesco pombopak josetron #sosvenezuela #venezuela";;;#SosVenezuela #sosvenezuela #venezuela;"836266105543012353";https://twitter.com/elMono440/status/836266105543012353
tslusnys;2017-02-27 13:09;3;1;"Cuando cada quien anda en lo suyo es difícil definir objetivos compartidos; por lo tanto, imposible lograr el bien común #SOSVenezuela";;;#SOSVenezuela;"836261904712617984";https://twitter.com/tslusnys/status/836261904712617984
SoyMaite;2017-02-27 12:53;2;1;"@realDonaldTrump #SOSVenezuela https:// twitter.com/fernandoamandi /status/836228832424263680 …";;@realDonaldTrump;#SOSVenezuela;"836257980979036164";https://twitter.com/SoyMaite/status/836257980979036164
renovarpapeles;2017-02-27 12:18;0;0;"#SOSVenezuela ¡PURA HUMILDAD! El conmovedor gesto de Nacho con los venezolanos en estos carnavales (+Video) https:// goo.gl/jhg3Uc pic.twitter.com/ToG5xYRAV9";;;#SOSVenezuela;"836249097363345408";https://twitter.com/renovarpapeles/status/836249097363345408
sangreechinche;2017-02-27 12:14;0;0;"#SosVenezuela";;;#SosVenezuela;"836248118555525120";https://twitter.com/sangreechinche/status/836248118555525120
chelita12;2017-02-27 12:13;0;0;"#SOSVenezuela another child dies of malnutrition @realDonaldTrump #HelpUs pic.twitter.com/cc7PioOfie";;@realDonaldTrump;#SOSVenezuela #HelpUs;"836247966230937600";https://twitter.com/chelita12/status/836247966230937600
