username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
carmenyjdt;2017-07-30 19:59;0;0;"@Almagro_OEA2015 @JMVivancoHRW #SOSVenezuela https:// twitter.com/hcapriles/stat us/891700805526585345 …";;@Almagro_OEA2015 @JMVivancoHRW;#SOSVenezuela;"891810597683245056";https://twitter.com/carmenyjdt/status/891810597683245056
zserranoq;2017-07-30 19:59;0;0;"#UltimatumAlRegimen #SOSVenezuela https:// twitter.com/DolarToday/sta tus/891809851864756224 …";;;#UltimatumAlRegimen #SOSVenezuela;"891810578234298368";https://twitter.com/zserranoq/status/891810578234298368
TiaEuge2011;2017-07-30 19:59;0;0;"Se viene el anuncio del fraude. Diosdado Cabello esta diciendo que "ha sido una votacion historica" #SOSVenezuela";;;#SOSVenezuela;"891810501415624704";https://twitter.com/TiaEuge2011/status/891810501415624704
Gonyn16;2017-07-30 19:59;0;0;"@bbcmundo @BBCNews @ntn24ve @ABC @CNN @CBSNews @FoxNews @TheWashintonPos @nytimes @Univision23 @elnuevoherald @DLasAmericas #SOSVenezuela";;@bbcmundo @BBCNews @ntn24ve @ABC @CNN @CBSNews @FoxNews @TheWashintonPos @nytimes @Univision23 @elnuevoherald @DLasAmericas;#SOSVenezuela;"891810494193045504";https://twitter.com/Gonyn16/status/891810494193045504
Erly_m;2017-07-30 19:59;0;0;"Gracias @CRcancilleria Venezuela necesita todo el apoyo de comunidad internacional, para derrotar dictadura de @NicolasMaduro #SOSVenezuela https:// twitter.com/crcancilleria/ status/891804668866826240 …";;@CRcancilleria @NicolasMaduro;#SOSVenezuela;"891810486827855872";https://twitter.com/Erly_m/status/891810486827855872
AnaY63;2017-07-30 19:59;0;0;"@POTUS @ONU_derechos @OEA_oficial #DictadorNicolasMaduroyAsesino @UNHumanRights #SosVenezuela https:// twitter.com/leoperiodista/ status/891734722317078528 …";;@POTUS @ONU_derechos @OEA_oficial @UNHumanRights;#DictadorNicolasMaduroyAsesino #SosVenezuela;"891810482675437568";https://twitter.com/AnaY63/status/891810482675437568
zserranoq;2017-07-30 19:58;0;0;"#UltimatumAlRegimen #SOSVenezuela https:// twitter.com/carlosvecchio/ status/891809777650675712 …";;;#UltimatumAlRegimen #SOSVenezuela;"891810306300809216";https://twitter.com/zserranoq/status/891810306300809216
AnaY63;2017-07-30 19:58;0;0;"@POTUS @ONU_derechos @OEA_oficial #DictadorNicolasMaduroyAsesino @UNHumanRights #SosVenezuela #NosestanmatandoenMerida https:// twitter.com/leoperiodista/ status/891755489511567360 …";;@POTUS @ONU_derechos @OEA_oficial @UNHumanRights;#DictadorNicolasMaduroyAsesino #SosVenezuela #NosestanmatandoenMerida;"891810294191796227";https://twitter.com/AnaY63/status/891810294191796227
andyeta1979_1;2017-07-30 19:58;1;1;"Siii yaaa #PaFuera BASTA !!! #SOSVENEZUELA";;;#PaFuera #SOSVENEZUELA;"891810259370692609";https://twitter.com/andyeta1979_1/status/891810259370692609
Gonyn16;2017-07-30 19:58;1;1;"@bbcmundo @BBCNews @ntn24ve @ABC @CNN @CBSNews @FoxNews @TheWashintonPos @nytimes @Univision23 @elnuevoherald @DLasAmericas #SOSVenezuela";;@bbcmundo @BBCNews @ntn24ve @ABC @CNN @CBSNews @FoxNews @TheWashintonPos @nytimes @Univision23 @elnuevoherald @DLasAmericas;#SOSVenezuela;"891810243268624384";https://twitter.com/Gonyn16/status/891810243268624384
zserranoq;2017-07-30 19:58;0;0;"#UltimatumAlRegimen #SOSVenezuela https:// twitter.com/venezuelaaldia /status/891809750157012992 …";;;#UltimatumAlRegimen #SOSVenezuela;"891810212318982149";https://twitter.com/zserranoq/status/891810212318982149
martinez_net;2017-07-30 19:58;2;0;"#VenezuelaEnDictadura #SOSVenezuela #ResistenciaVzla @la_patilla @InformadorVeraz @RunRunesWeb @ElNacionalWeb @abc_es @elnuevoherald https:// twitter.com/alfredoromero/ status/891807642007592963 …";;@la_patilla @InformadorVeraz @RunRunesWeb @ElNacionalWeb @abc_es @elnuevoherald;#VenezuelaEnDictadura #SOSVenezuela #ResistenciaVzla;"891810182594015233";https://twitter.com/martinez_net/status/891810182594015233
andrepirela;2017-07-30 19:58;0;0;"*** #SOSVenezuela ** https:// amp.theguardian.com/world/2017/jul /30/fear-of-violence-hangs-over-venezuela-assembly-election …";;;#SOSVenezuela;"891810143083446272";https://twitter.com/andrepirela/status/891810143083446272
PedronAntonio;2017-07-30 19:57;0;0;"#SOSVenezuela #UltimatunalRegimen #MaduroAsesino https:// twitter.com/AnonymousVene1 0/status/891808476053331968 …";;;#SOSVenezuela #UltimatunalRegimen #MaduroAsesino;"891810081402216449";https://twitter.com/PedronAntonio/status/891810081402216449
eacademico;2017-07-30 19:57;0;0;"Agradecida .. #SosVenezuela https:// twitter.com/PLinero/status /891807921402728449 …";;;#SosVenezuela;"891809970022477824";https://twitter.com/eacademico/status/891809970022477824
AnaY63;2017-07-30 19:57;0;0;"@POTUS @ONU_derechos @OEA_oficial #DictadorNicolasMaduroyAsesino @UNHumanRights #SosVenezuela #NosestanmatandoenMerida https:// twitter.com/leoperiodista/ status/891769150078636032 …";;@POTUS @ONU_derechos @OEA_oficial @UNHumanRights;#DictadorNicolasMaduroyAsesino #SosVenezuela #NosestanmatandoenMerida;"891809907120451585";https://twitter.com/AnaY63/status/891809907120451585
lasonerita;2017-07-30 19:56;0;0;"#SosVenezuela RT @victoramaya : MUD confirma que esposa e hijas menores de edad del diputado Simón (cont) http:// tl.gd/no05bk";;@victoramaya;#SosVenezuela;"891809873658359808";https://twitter.com/lasonerita/status/891809873658359808
od_avga;2017-07-30 19:56;0;0;"@GobiernodeChile #SOSVenezuela https:// twitter.com/leopoldolopez/ status/891722419181957120 …";;@GobiernodeChile;#SOSVenezuela;"891809845904642049";https://twitter.com/od_avga/status/891809845904642049
Chechipon23;2017-07-30 19:56;1;2;"merci, thanks, gracias por tu apoyo constante desde el 2014 (o antes), es un alivio sentir que gente de su nivel respalda a #SOSVenezuela";;;#SOSVenezuela;"891809834449948672";https://twitter.com/Chechipon23/status/891809834449948672
lparram;2017-07-30 19:56;2;0;"Y Por que? Ud y gente que lo rodea no hicieron algo para impedir tanto derramamiento de sangre de tanta gente INOCENTE! #sosVenezuela";;;#sosVenezuela;"891809832457691136";https://twitter.com/lparram/status/891809832457691136
mararubiamedes;2017-07-30 19:56;0;0;"#SOSVENEZUELA pic.twitter.com/zJwmKGRQHh";;;#SOSVENEZUELA;"891809767110455296";https://twitter.com/mararubiamedes/status/891809767110455296
zserranoq;2017-07-30 19:55;0;0;"#UltimatumAlRegimen #SOSVenezuela https:// twitter.com/SergioNovelli/ status/891789353344782338 …";;;#UltimatumAlRegimen #SOSVenezuela;"891809599493373953";https://twitter.com/zserranoq/status/891809599493373953
rodrigolaprea;2017-07-30 19:55;2;1;"@NicolasMaduro @dcabellor @PanchoArias2012 @jorgepsuv @MPPD_FANB #AsistenciaMilitarInterNacional #SOSVenezuela #NoAlFraudeConstituyente https:// twitter.com/FranciscoPoleo R/status/891806402632708096 …";;@NicolasMaduro @dcabellor @PanchoArias2012 @jorgepsuv @MPPD_FANB;#AsistenciaMilitarInterNacional #SOSVenezuela #NoAlFraudeConstituyente;"891809555671396352";https://twitter.com/rodrigolaprea/status/891809555671396352
Lrcarolina;2017-07-30 19:55;0;0;"Esto es grave, muy grave!! #SOSVenezuela https:// twitter.com/TAMARA_SUJU/st atus/891760684475846657 …";;;#SOSVenezuela;"891809554752843777";https://twitter.com/Lrcarolina/status/891809554752843777
DiosaMaracana;2017-07-30 19:54;2;0;"Base Aragua, donde vive mi padre y tanta gente que conozco... #Maracay #Aragua #SOSVenezuela #30Jul https:// twitter.com/FEDGLOCK/statu s/891807402777079808 …";;;#Maracay #Aragua #SOSVenezuela #30Jul;"891809275986796544";https://twitter.com/DiosaMaracana/status/891809275986796544
daya_dg;2017-07-30 19:54;0;0;"#SOSVenezuela";;;#SOSVenezuela;"891809256076447745";https://twitter.com/daya_dg/status/891809256076447745
Chechipon23;2017-07-30 19:54;0;1;"gracias por su apoyo a #SOSVenezuela y así detener al #narcoterrorismo en #latam estimada @dpatetif ! @OEA_oficial @ONU_derechos @amnistia https:// twitter.com/dpatetif/statu s/891802797808726017 …";;@dpatetif @OEA_oficial @ONU_derechos @amnistia;#SOSVenezuela #narcoterrorismo #latam;"891809159263518721";https://twitter.com/Chechipon23/status/891809159263518721
Allenvivas;2017-07-30 19:54;0;1;"#SOSVenezuela #30Jul #YoSoyLibertador #TeamHDP #LaListaJustin #TeamVene10 #Guayana #Tachira #Merida #Caracas #Valencia #Carabobo #Zulia https:// twitter.com/andres_cano42/ status/891797077050740736 …";;;#SOSVenezuela #30Jul #YoSoyLibertador #TeamHDP #LaListaJustin #TeamVene10 #Guayana #Tachira #Merida #Caracas #Valencia #Carabobo #Zulia;"891809135272091650";https://twitter.com/Allenvivas/status/891809135272091650
od_avga;2017-07-30 19:53;0;0;"@GobiernodeChile #SOSVenezuela https:// twitter.com/leopoldolopez/ status/891717335190560768 …";;@GobiernodeChile;#SOSVenezuela;"891809099230433280";https://twitter.com/od_avga/status/891809099230433280
Allenvivas;2017-07-30 19:53;2;0;"#SOSVenezuela #30Jul #YoSoyLibertador #TeamHDP #LaListaJustin #TeamVene10 #Guayana #Tachira #Merida #Caracas #Valencia #Carabobo #Zulia https:// twitter.com/librecapitalis t/status/891804295229833218 …";;;#SOSVenezuela #30Jul #YoSoyLibertador #TeamHDP #LaListaJustin #TeamVene10 #Guayana #Tachira #Merida #Caracas #Valencia #Carabobo #Zulia;"891809031920267266";https://twitter.com/Allenvivas/status/891809031920267266
latinreggaejama;2017-07-30 19:53;0;0;"Hijos de su madre #SOSVenezuela #SOSVenezuelaNOW #AbajoMaduro #DictaduraEnVenezuela https:// twitter.com/hcapriles/stat us/891783173427933184 … http:// fb.me/1dbNNjRxn";;;#SOSVenezuela #SOSVenezuelaNOW #AbajoMaduro #DictaduraEnVenezuela;"891809010504040448";https://twitter.com/latinreggaejama/status/891809010504040448
cmarquez1968;2017-07-30 19:53;0;0;"@marcorubio @JMVivancoHRW @RosLehtinen @Laura_Ch @AndresPastrana_ #SOSVenezuela https:// twitter.com/JOSEVICENTEHAR O/status/891796623185108994 …";;@marcorubio @JMVivancoHRW @RosLehtinen @Laura_Ch @AndresPastrana_;#SOSVenezuela;"891808988710535168";https://twitter.com/cmarquez1968/status/891808988710535168
solocaribeinc;2017-07-30 19:53;0;0;"Hijos de su madre #SOSVenezuela #SOSVenezuelaNOW #AbajoMaduro #DictaduraEnVenezuela https:// twitter.com/hcapriles/stat us/891783173427933184 …";;;#SOSVenezuela #SOSVenezuelaNOW #AbajoMaduro #DictaduraEnVenezuela;"891808980657426434";https://twitter.com/solocaribeinc/status/891808980657426434
rodrigolaprea;2017-07-30 19:53;3;2;"@SenRubioPress @realDonaldTrump @manuelvalls @AlvaroUribeVel #AsistenciaMilitarInterNacional #SOSVenezuela #NoAlFraudeConstituyente https:// twitter.com/alfredoromero/ status/891803874092363777 …";;@SenRubioPress @realDonaldTrump @manuelvalls @AlvaroUribeVel;#AsistenciaMilitarInterNacional #SOSVenezuela #NoAlFraudeConstituyente;"891808942648590337";https://twitter.com/rodrigolaprea/status/891808942648590337
Oli2569;2017-07-30 19:53;1;0;". @luisguillermosr Gracias! #SOSVenezuela https:// twitter.com/crcancilleria/ status/891804668866826240 …";;@luisguillermosr;#SOSVenezuela;"891808916388159488";https://twitter.com/Oli2569/status/891808916388159488
Dubraskammu;2017-07-30 19:52;0;0;"#sosVenezuela #ultimátumalregimen https:// twitter.com/leocenisoficia l/status/891808271652311041 …";;;#sosVenezuela #ultim;"891808871110594564";https://twitter.com/Dubraskammu/status/891808871110594564
JEPvzla;2017-07-30 19:52;6;0;"#30Jul El gobierno venezolano ha cometido hoy asesinatos masivos, crímenes de lesa humanidad que no prescriben #SosVenezuela";;;#30Jul #SosVenezuela;"891808830790799360";https://twitter.com/JEPvzla/status/891808830790799360
gigi0604;2017-07-30 19:52;0;0;"#SOSVenezuela https:// twitter.com/nikkihaley/sta tus/891768738239979522 …";;;#SOSVenezuela;"891808786582831108";https://twitter.com/gigi0604/status/891808786582831108
Dubraskammu;2017-07-30 19:52;0;0;"#sosVenezuela #ultimátumalregimen https:// twitter.com/miguelcontigo/ status/891808239070969857 …";;;#sosVenezuela #ultim;"891808705301426176";https://twitter.com/Dubraskammu/status/891808705301426176
Permoleu;2017-07-30 19:52;0;1;"#lutoporvenezuela Respeto a todas las personas fallecidas #30Jul Exigían Libertad y les arrebataron la vida #libertad #Freedom #SOSVenezuela pic.twitter.com/yyFwGSsnwJ";;;#lutoporvenezuela #30Jul #libertad #Freedom #SOSVenezuela;"891808670534832128";https://twitter.com/Permoleu/status/891808670534832128
marialjos;2017-07-30 19:52;0;0;"El equipo de Maduro se encargo de llamar a muchos venezolanos ofreciéndoles casas carros entre otras cosas #sosvzla #sosvenezuela";;;#sosvzla #sosvenezuela;"891808636959371264";https://twitter.com/marialjos/status/891808636959371264
katina0310;2017-07-30 19:51;0;0;"#SOSVenezuela #30Jl https:// twitter.com/susanaraffalli /status/891804909414338562 …";;;#SOSVenezuela #30Jl;"891808597621059586";https://twitter.com/katina0310/status/891808597621059586
jilselena;2017-07-30 19:51;0;0;"Caracas, Policlinica Metropolitana muestra bandera CruzRoja #SOSVenezuela #30J @VicenteFoxQue @AndresPastrana_ pic.twitter.com/rnBhuUO0dr";;@VicenteFoxQue @AndresPastrana_;#SOSVenezuela #30J;"891808594567372800";https://twitter.com/jilselena/status/891808594567372800
martinez_net;2017-07-30 19:51;1;0;"#VenezuelaEnDictadura #SOSVenezuela #ResistenciaVzla @la_patilla @InformadorVeraz @RunRunesWeb @ElNacionalWeb @abc_es @elnuevoherald https:// twitter.com/eleonorabruzua l/status/891801808787697664 …";;@la_patilla @InformadorVeraz @RunRunesWeb @ElNacionalWeb @abc_es @elnuevoherald;#VenezuelaEnDictadura #SOSVenezuela #ResistenciaVzla;"891808465043296256";https://twitter.com/martinez_net/status/891808465043296256
MonicaRubio10;2017-07-30 19:51;0;0;"#venezuela #sosvenezuela #yosoyvenezuela #amoavenezuela #venezuelalibre #noalaconstituyente … https://www. instagram.com/p/BXMJYx2DQig/";;;#venezuela #sosvenezuela #yosoyvenezuela #amoavenezuela #venezuelalibre #noalaconstituyente;"891808453747818496";https://twitter.com/MonicaRubio10/status/891808453747818496
jorportillo;2017-07-30 19:51;0;0;"#SOSVenezuela Solo un gobierno de Infelices/Incapaces pretende llamar a contarse luego de destruir un país y tener buenos resultados";;;#SOSVenezuela;"891808451223056384";https://twitter.com/jorportillo/status/891808451223056384
DiosaMaracana;2017-07-30 19:51;0;0;"Mi dolor se llama Venezuela Mi insomnio se llama Venezuela Mi amor se llama Venezuela. #SOSVenezuela #30Jul https:// twitter.com/Yusnaby/status /891716426356199426 …";;;#SOSVenezuela #30Jul;"891808443153207296";https://twitter.com/DiosaMaracana/status/891808443153207296
jilselena;2017-07-30 19:51;1;1;"Caracas, Policlinica Metropolitana muestra bandera CruzRoja #SOSVenezuela #30J @lopezdoriga @jrisco @jorgeramosnews pic.twitter.com/i4DeCONgIR";;@lopezdoriga @jrisco @jorgeramosnews;#SOSVenezuela #30J;"891808407199506432";https://twitter.com/jilselena/status/891808407199506432
