username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
YenisManeiroV;2017-06-29 19:52;0;0;"#29J #SOSVenezuela #MaduroYGeneralesASESINOS @_daniel_radio @everthbustamant @beatrizbecerrab @felipekast https:// twitter.com/abelandia/stat us/880551391621779456 …";;@_daniel_radio @everthbustamant @beatrizbecerrab @felipekast;#29J #SOSVenezuela #MaduroYGeneralesASESINOS;"880574773776003074";https://twitter.com/YenisManeiroV/status/880574773776003074
YenisManeiroV;2017-06-29 19:52;1;0;"29J #SOSVenezuela #MaduroYGeneralesASESINOS @_daniel_radio @ClaudiaLopez @IvanDuque @PaolaHolguin @AlvaroUribeVel https:// twitter.com/abelandia/stat us/880551391621779456 …";;@_daniel_radio @ClaudiaLopez @IvanDuque @PaolaHolguin @AlvaroUribeVel;#SOSVenezuela #MaduroYGeneralesASESINOS;"880574725910614018";https://twitter.com/YenisManeiroV/status/880574725910614018
justi999;2017-06-29 19:52;2;1;"Y de paso, lanzaron dentro bomba lacrimógena, emulando las cámaras de gas nazis! #SOSVenezuela https:// twitter.com/JuanGaranton/s tatus/880534244291788800 …";;;#SOSVenezuela;"880574714154037249";https://twitter.com/justi999/status/880574714154037249
magalytaro;2017-06-29 19:52;0;0;"#SOSVenezuela miserables y a ellos si se les respeta le tienen consideración cuando los atrapan https:// twitter.com/LadyGhostVzla/ status/880534122313129984 …";;;#SOSVenezuela;"880574665781071872";https://twitter.com/magalytaro/status/880574665781071872
militzaquizena;2017-06-29 19:52;0;0;"#SOSVenezuela http://www. cnn.com/videos/world/2 017/06/28/venezuela-pkg-amanpour.cnn …";;;#SOSVenezuela;"880574634575486976";https://twitter.com/militzaquizena/status/880574634575486976
Mariachituntun;2017-06-29 19:51;0;0;"@Almagro_OEA2015 @TAMARA_SUJU @ONU_derechos @marcorubio @POTUS #SOSVenezuela https:// twitter.com/Correo_Orinoco /status/880559710763597824 …";;@Almagro_OEA2015 @TAMARA_SUJU @ONU_derechos @marcorubio @POTUS;#SOSVenezuela;"880574374042103808";https://twitter.com/Mariachituntun/status/880574374042103808
militzaquizena;2017-06-29 19:51;0;0;"#SOSVenezuela https:// twitter.com/alfredoromero/ status/880569888938405888 …";;;#SOSVenezuela;"880574365187940354";https://twitter.com/militzaquizena/status/880574365187940354
Mariachituntun;2017-06-29 19:50;0;0;"@Almagro_OEA2015 @TAMARA_SUJU @ONU_derechos @marcorubio @POTUS #SOSVenezuela https:// twitter.com/itsTavo/status /880566523714260995 …";;@Almagro_OEA2015 @TAMARA_SUJU @ONU_derechos @marcorubio @POTUS;#SOSVenezuela;"880574287815606272";https://twitter.com/Mariachituntun/status/880574287815606272
MIGUELO_HI1;2017-06-29 19:50;1;0;"#CNEelFraudeConstituyenteNOVa . #29Jun . #29Junio . #Jueves . #SOSVenezuela . #FiscalíaGeneral . @lortegadiaz . https:// twitter.com/MariaCorinaYA/ status/880521932512296960 …";;@lortegadiaz;#CNEelFraudeConstituyenteNOVa #29Jun #29Junio #Jueves #SOSVenezuela #Fiscal;"880574147688095744";https://twitter.com/MIGUELO_HI1/status/880574147688095744
Mariachituntun;2017-06-29 19:50;0;0;"@Almagro_OEA2015 @TAMARA_SUJU @ONU_derechos @marcorubio @POTUS #SOSVenezuela https:// twitter.com/paolucci40/sta tus/880538419339739136 …";;@Almagro_OEA2015 @TAMARA_SUJU @ONU_derechos @marcorubio @POTUS;#SOSVenezuela;"880574142487121922";https://twitter.com/Mariachituntun/status/880574142487121922
