username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
mercalmerida;2017-07-30 19:19;6;2;"La #ConstituyenteVa #VenezuelaVotaHoy #VenezuelaEleccionesEnPaz @RMarcoTorres @MercalOficial pic.twitter.com/UzPdxt2y4Z";;@RMarcoTorres @MercalOficial;#ConstituyenteVa #VenezuelaVotaHoy #VenezuelaEleccionesEnPaz;"891800373924679680";https://twitter.com/mercalmerida/status/891800373924679680
nenatona;2017-07-30 19:06;1;1;"@notireporteros @GobAlexisR @GobDeMerida y así salimos a votar #ConstituyenteVa ! #VenezuelaEjemploConstituyente https:// twitter.com/notireporteros /status/891789989146746880 …";;@notireporteros @GobAlexisR @GobDeMerida;#ConstituyenteVa #VenezuelaEjemploConstituyente;"891797180234817536";https://twitter.com/nenatona/status/891797180234817536
pocopelo23;2017-07-30 19:06;5;4;"Expectativa contra realidad, la #ConstituyenteVa https:// twitter.com/VillegasPoljak /status/891788897721733122 …";;;#ConstituyenteVa;"891797084566937601";https://twitter.com/pocopelo23/status/891797084566937601
po_salguero;2017-07-30 18:54;0;0;"#ConstituyenteVA https:// twitter.com/InfoNodal/stat us/891759608422969349 …";;;#ConstituyenteVA;"891794184100884480";https://twitter.com/po_salguero/status/891794184100884480
la30deoctubre;2017-07-30 18:35;3;0;"#Venezuela testimonios de los votantes #ConstituyenteVa https:// twitter.com/InfoNodal/stat us/891759608422969349 …";;;#Venezuela #ConstituyenteVa;"891789275062304768";https://twitter.com/la30deoctubre/status/891789275062304768
HechosMaldonado;2017-07-30 18:19;0;0;"#ConstituyentePaLaCalle #ConstituyenteVA https:// twitter.com/JAriasPalacio/ status/891735616626589696 …";;;#ConstituyentePaLaCalle #ConstituyenteVA;"891785366587527170";https://twitter.com/HechosMaldonado/status/891785366587527170
HechosMaldonado;2017-07-30 18:18;0;0;"#ConstituyentePaLaCalle #ConstituyenteVA https:// twitter.com/InfoNodal/stat us/891783241254006789 …";;;#ConstituyentePaLaCalle #ConstituyenteVA;"891784977007992833";https://twitter.com/HechosMaldonado/status/891784977007992833
InfoNodal;2017-07-30 18:11;36;42;"#Venezuela Extienden hasta las 19:00 el tiempo de votación para la Asamblea Constituyente #ConstituyentePaLaCalle #ConstituyenteVA";;;#Venezuela #ConstituyentePaLaCalle #ConstituyenteVA;"891783241254006789";https://twitter.com/InfoNodal/status/891783241254006789
marlenegrafica;2017-07-30 17:42;3;0;"#ConstituyenteVA | Entrevista al politólogo venezolano @CharlesGiuseppi en @FeasSuciasMalas @RadioGrafica893 : https:// radiocut.fm/audiocut/venez uela-en-la-vispera-de-la-asamblea-nacional-constituyente-parte-1/#f=radio&l=related …";;@CharlesGiuseppi @FeasSuciasMalas @RadioGrafica893;#ConstituyenteVA #f;"891775966162423809";https://twitter.com/marlenegrafica/status/891775966162423809
InfoNodal;2017-07-30 17:37;5;9;"Venezuela: se desarrollan las elecciones para la Asamblea Constituyente #ConstituyenteVA http://www. avn.info.ve/contenido/masi va-participaci%C3%B3n-alegr%C3%ADa-y-civismo-marcan-jornada-electoral-constituyente … vía @AVNve";;@AVNve;#ConstituyenteVA;"891774902730186752";https://twitter.com/InfoNodal/status/891774902730186752
Bruno_C59;2017-07-30 17:09;0;0;"Desde Argentina, toda la fuerza al pueblo venezolano #VenezuelaVotaHoy #ConstituyenteVa pic.twitter.com/nBYFlX4Geg";;;#VenezuelaVotaHoy #ConstituyenteVa;"891767845285244928";https://twitter.com/Bruno_C59/status/891767845285244928
InfoNodal;2017-07-30 16:37;119;127;"#Venezuela #Testimonios de votantes a la #ConstituyenteVA pic.twitter.com/LaOSFBsp0U";;;#Venezuela #Testimonios #ConstituyenteVA;"891759608422969349";https://twitter.com/InfoNodal/status/891759608422969349
NotiHoyMarquez;2017-07-30 16:22;0;0;"#VenezuelaaVotaHoy #VenezuelaEleccionesEnPaz como sea la #ConstituyenteVa pic.twitter.com/dPbIypSqIT";;;#VenezuelaaVotaHoy #VenezuelaEleccionesEnPaz #ConstituyenteVa;"891755950721425408";https://twitter.com/NotiHoyMarquez/status/891755950721425408
ManuelGarciaES;2017-07-30 16:22;8;4;"Solidaridad con #Venezuela #ConstituyenteVa #VenezuelaVotaHoy https://www. facebook.com/manologarciaes trada/posts/1490499027663529?pnref=story … https:// twitter.com/radioamlo/stat us/891755879393091584 …";;;#Venezuela #ConstituyenteVa #VenezuelaVotaHoy;"891755914335666176";https://twitter.com/ManuelGarciaES/status/891755914335666176
ManuelGarciaES;2017-07-30 16:22;0;0;"Solidaridad con #Venezuela #ConstituyenteVa #VenezuelaVotaHoy https://www. facebook.com/manologarciaes trada/posts/1490499027663529?pnref=story … https:// twitter.com/ErikaOSanoja/s tatus/891735085879316480 …";;;#Venezuela #ConstituyenteVa #VenezuelaVotaHoy;"891755859486822400";https://twitter.com/ManuelGarciaES/status/891755859486822400
ManuelGarciaES;2017-07-30 16:21;0;1;"Solidaridad con #Venezuela #ConstituyenteVa #VenezuelaVotaHoy https://www. facebook.com/manologarciaes trada/posts/1490499027663529?pnref=story … https:// twitter.com/teleSURtv/stat us/891755281235005440 …";;;#Venezuela #ConstituyenteVa #VenezuelaVotaHoy;"891755776120770560";https://twitter.com/ManuelGarciaES/status/891755776120770560
amanda_elorza;2017-07-30 16:21;0;0;"Si son mayoria, porque estan asustados?? Veo mucha gente votando hoy por la paz #constituyenteVa";;;#constituyenteVa;"891755726498123786";https://twitter.com/amanda_elorza/status/891755726498123786
ManuelGarciaES;2017-07-30 16:21;0;0;"Solidaridad con #Venezuela #ConstituyenteVa #VenezuelaVotaHoy https://www. facebook.com/manologarciaes trada/posts/1490499027663529?pnref=story … https:// twitter.com/CoordMex_Venez /status/891710948066476032 …";;;#Venezuela #ConstituyenteVa #VenezuelaVotaHoy;"891755657442885633";https://twitter.com/ManuelGarciaES/status/891755657442885633
ManuelGarciaES;2017-07-30 16:21;0;1;"Solidaridad con #Venezuela #ConstituyenteVa #VenezuelaVotaHoy https://www. facebook.com/manologarciaes trada/posts/1490499027663529?pnref=story … https:// twitter.com/Hipernauta/sta tus/891754994512404481 …";;;#Venezuela #ConstituyenteVa #VenezuelaVotaHoy;"891755557219999744";https://twitter.com/ManuelGarciaES/status/891755557219999744
ManuelGarciaES;2017-07-30 16:20;0;0;"Solidaridad con #Venezuela #ConstituyenteVa #VenezuelaVotaHoy https://www. facebook.com/manologarciaes trada/posts/1490499027663529?pnref=story … https:// twitter.com/SivoriteleSUR/ status/891697927743315970 …";;;#Venezuela #ConstituyenteVa #VenezuelaVotaHoy;"891755492661280768";https://twitter.com/ManuelGarciaES/status/891755492661280768
ManuelGarciaES;2017-07-30 16:20;1;1;"Solidaridad con #Venezuela #ConstituyenteVa #VenezuelaVotaHoy https://www. facebook.com/manologarciaes trada/posts/1490499027663529?pnref=story …";;;#Venezuela #ConstituyenteVa #VenezuelaVotaHoy;"891755384037191680";https://twitter.com/ManuelGarciaES/status/891755384037191680
ManuelGarciaES;2017-07-30 16:19;0;1;"Solidaridad con #Venezuela #ConstituyenteVa #VenezuelaVotaHoy https://www. facebook.com/manologarciaes trada/posts/1490499027663529?pnref=story … ´ #ÁnimoVenezuela";;;#Venezuela #ConstituyenteVa #VenezuelaVotaHoy #;"891755245474258944";https://twitter.com/ManuelGarciaES/status/891755245474258944
ManuelGarciaES;2017-07-30 16:19;0;0;"Solidaridad con #Venezuela #ConstituyenteVa #VenezuelaVotaHoy https://www. facebook.com/manologarciaes trada/posts/1490499027663529?pnref=story … !!!!";;;#Venezuela #ConstituyenteVa #VenezuelaVotaHoy;"891755142059507712";https://twitter.com/ManuelGarciaES/status/891755142059507712
ManuelGarciaES;2017-07-30 16:19;0;0;"Solidaridad con #Venezuela #ConstituyenteVa #VenezuelaVotaHoy https://www. facebook.com/manologarciaes trada/posts/1490499027663529?pnref=story … ...";;;#Venezuela #ConstituyenteVa #VenezuelaVotaHoy;"891755062518628352";https://twitter.com/ManuelGarciaES/status/891755062518628352
ManuelGarciaES;2017-07-30 16:18;0;0;"Solidaridad con #Venezuela #ConstituyenteVa #VenezuelaVotaHoy https://www. facebook.com/manologarciaes trada/posts/1490499027663529?pnref=story …";;;#Venezuela #ConstituyenteVa #VenezuelaVotaHoy;"891754894025080832";https://twitter.com/ManuelGarciaES/status/891754894025080832
ManuelGarciaES;2017-07-30 16:17;1;0;"Solidaridad con #Venezuela #ConstituyenteVa #VenezuelaVoyaHoy https://www. facebook.com/manologarciaes trada/posts/1490499027663529?pnref=story …";;;#Venezuela #ConstituyenteVa #VenezuelaVoyaHoy;"891754761141092352";https://twitter.com/ManuelGarciaES/status/891754761141092352
pocopelo23;2017-07-30 16:17;9;9;"Estoy maravillado con el valor y dignidad del pueblo #Venezolano un día de fiesta LA #ConstituyenteVa ! https:// twitter.com/laradiodelsur/ status/891752959880699907 …";;;#Venezolano #ConstituyenteVa;"891754730963251200";https://twitter.com/pocopelo23/status/891754730963251200
Francisco_Chew;2017-07-30 15:19;4;1;"Masiva votación en la #ConstituyenteVA en el #Polihedro de #Caracas #Venezuela @CNE_Venezuela #Mexico pic.twitter.com/fRwmyaBwmi";;@CNE_Venezuela;#ConstituyenteVA #Polihedro #Caracas #Venezuela #Mexico;"891739943999033344";https://twitter.com/Francisco_Chew/status/891739943999033344
karolyesenia412;2017-07-30 15:08;0;0;"aunque quieran trancarnos las vía, salimos masivamente a firmar por la paz para nuestro país. la #ConstituyenteVA";;;#ConstituyenteVA;"891737236101890049";https://twitter.com/karolyesenia412/status/891737236101890049
guecoeman;2017-07-30 15:07;0;10;"Ls opositores pasaron d cacerolazos, a terrorismo. Y los medios d prensa ls ponen como gran lucha cívica. #MundoAlReves #ConstituyenteVa";;;#MundoAlReves #ConstituyenteVa;"891737100189655040";https://twitter.com/guecoeman/status/891737100189655040
arroca159;2017-07-30 15:05;0;0;"Claro q la #ConstituyenteVa , va sobre la muerte d + d 100 persons, va a institucionalizar una dictadura q está matndo a su pueblo de hambre";;;#ConstituyenteVa;"891736493550645248";https://twitter.com/arroca159/status/891736493550645248
camaraj58;2017-07-30 14:59;0;0;"sigan así autoengañandose hoy el pueblo de #VenezuelaVotaHoy #ConstituyenteVA https:// twitter.com/la_patilla/sta tus/891733904423604224 …";;;#VenezuelaVotaHoy #ConstituyenteVA;"891735110449598464";https://twitter.com/camaraj58/status/891735110449598464
daferen;2017-07-30 14:51;0;0;"Pues si la #ConstituyenteVA el pueblo defiende la revolución, su revolución. https:// twitter.com/RMarcoTorres/s tatus/891687678999179266 …";;;#ConstituyenteVA;"891733000320409602";https://twitter.com/daferen/status/891733000320409602
AleydaCollazos;2017-07-30 14:50;0;0;"#Venezuela #ConstituyenteVa Respuesta del pueblo #Paz @24h_tve @tve_tve @laSextaTV @abc_es @rtve https:// twitter.com/HaimanVZLA/sta tus/891668715615522818 …";;@24h_tve @tve_tve @laSextaTV @abc_es @rtve;#Venezuela #ConstituyenteVa #Paz;"891732674083258368";https://twitter.com/AleydaCollazos/status/891732674083258368
AleydaCollazos;2017-07-30 14:44;0;0;"Por si no tenéis información #ConstituyenteVa #Venezuela #Democracia @NoticiasTVE @laSextaTV @cuatro @A3Noticias https:// twitter.com/AnonymousPatri a/status/891663030676856832 …";;@NoticiasTVE @laSextaTV @cuatro @A3Noticias;#ConstituyenteVa #Venezuela #Democracia;"891731264008597504";https://twitter.com/AleydaCollazos/status/891731264008597504
RosAngelsy;2017-07-30 14:42;0;0;"Llego el dia... Ya yo Ejercí mi derecho... Solo faltas tu!!!! #ConstituyenteVa #Votoya";;;#ConstituyenteVa #Votoya;"891730738755891200";https://twitter.com/RosAngelsy/status/891730738755891200
milelapatria;2017-07-30 14:41;1;0;"#FiestaDeLaPatria #VenezuelaEleccionesEnPaz en una fiesta electoral, donde el pueblo dice #ConstituyenteVA @Albatvromania @teleSURtv @PDVSA pic.twitter.com/XDDdsG20yA";;@Albatvromania @teleSURtv @PDVSA;#FiestaDeLaPatria #VenezuelaEleccionesEnPaz #ConstituyenteVA;"891730602642350080";https://twitter.com/milelapatria/status/891730602642350080
MST_Mexico;2017-07-30 14:38;17;16;"Acto de respaldo a la #ConstituyenteVA de #Venezuela en La @EmbaVenMexico , @YuryUribeM habla a nombre del #MST de #Mexico pic.twitter.com/1wCqYjKdAH";;@EmbaVenMexico @YuryUribeM;#ConstituyenteVA #Venezuela #MST #Mexico;"891729826654105600";https://twitter.com/MST_Mexico/status/891729826654105600
